# English source template	Translation
Unknown item	Bilinmeyen eşya
MYSTICAL	MİSTİK
CONSUMABLE	TÜKETİLEBİLİR
UTILITY	ARAÇ
Temporary	Geçici
Infinite stamina for {0:0.#} s.	{0:0.#} sn boyunca sınırsız dayanıklılık.
Affects nearby teammates, not yourself.	Yalnızca yakındaki takım arkadaşlarını etkiler, seni etkilemez.
Nearby teammates only	Yalnızca yakındaki takım arkadaşları
World item: prefab data; instance state unverified.	Dünyadaki eşya: temel eşya verileri; bu eşyanın mevcut durumu doğrulanmadı.
Pulse includes estimated timed totals; excludes natural recovery, environment and existing buffs.	Yanıp sönme, süreli etkilerin tahmini toplamını içerir; doğal iyileşme, çevre ve mevcut güçlendirmeler dahil değildir.
Treats injuries; actual recovery depends on your current injury.	Yaraları iyileştirir; iyileşme miktarı mevcut yaralanmana bağlıdır.
Speed boost	Hız artışı
Temporary speed boost for {0:0.#} s.	{0:0.#} sn boyunca geçici hız artışı.
Infinite stamina for {0:0.#} s after climbing starts.	Tırmanmaya başladıktan sonra {0:0.#} sn boyunca sınırsız dayanıklılık.
Temporary invincibility	Geçici yenilmezlik
Invincible for {0:0.#} s.	{0:0.#} sn boyunca yenilmezlik.
Within range	Menzil içinde
Grants infinite stamina to characters within range.	Menzildeki karakterlere sürekli sınırsız dayanıklılık sağlar.
Also clears ongoing poison effects.	Devam eden zehir etkilerini de kaldırır.
Stops ongoing poisoning	Devam eden zehirlenmeyi durdurur
Infinite stamina for 4 s, after 3 s.	3 sn sonra 4 sn boyunca sınırsız dayanıklılık.
Speed boost for 5 s, after 3 s.	3 sn sonra 5 sn boyunca hız artışı.
Low gravity for 15 s, after 3 s.	3 sn sonra 15 sn boyunca düşük yerçekimi.
Low gravity	Düşük yerçekimi
Invincibility for 10 s.	10 sn boyunca yenilmezlik.
Spore explosion and upward launch after 3 s; area damage not quantified.	3 sn sonra spor patlaması ve yukarı fırlatma; alan hasarı hesaplanmadı.
Spore blast / launch	Spor patlaması / fırlatma
Blindness for 60 s, after 3 s.	3 sn sonra 60 sn boyunca körlük.
Temporary blindness	Geçici körlük
Fall for about 8 s, after 3 s.	3 sn sonra yaklaşık 8 sn boyunca yere düşme.
Fall	Yere düşme
Numbness for 60 s, after 3 s.	3 sn sonra 60 sn boyunca uyuşukluk.
Temporary numbness	Geçici uyuşukluk
This level's mushroom effect is unconfirmed.	Bu bölümdeki mantarın etkisi henüz doğrulanmadı.
Place the cannon and adjust its angle to launch scouts or items.	İzcileri veya eşyaları fırlatmak için topu yerleştir ve açısını ayarla.
Open your passport.	Pasaportunu aç.
